NumElements, MSE_natural, MSE_SGW
10, 0.080263, 0.007114
20, 0.025477, 0.002319
30, 0.010059, 0.001392
40, 0.004443, 0.000951
50, 0.002162, 0.000691
60, 0.001363, 0.000532
70, 0.000982, 0.000439
80, 0.000811, 0.000375
90, 0.000724, 0.000330
100, 0.000677, 0.000299
110, 0.000653, 0.000280
120, 0.000643, 0.000266
130, 0.000639, 0.000256
140, 0.000636, 0.000248
150, 0.000635, 0.000243
160, 0.000635, 0.000238
170, 0.000634, 0.000235
180, 0.000634, 0.000233
190, 0.000634, 0.000232
200, 0.000634, 0.000231
